Exposed People,Minor Infected People,Hospitalized People,Intensive Infected People,Recovered people,Deceased people
1984,927,742,166,149,52
2423,1000,1034,229,160,79
2982,1065,1346,295,276,107
3710,1155,1790,351,414,148
4439,1060,2394,462,523,197
5650,1843,2651,567,589,233
7009,2180,3557,650,622,366
8709,2936,4316,733,724,463
9518,2599,5038,877,1004,631
11635,3724,5838,1028,1045,827
14097,5036,6650,1153,1258,1016
16394,6201,7426,1328,1439,1266
19716,7860,8372,1518,1966,1441
22938,9268,9663,1672,2335,1809
25822,10197,11025,1851,2749,2158
29003,11108,12894,2060,2941,2503
32735,12090,14363,2257,4025,2978
37630,14935,15757,2498,4440,3405
42989,19185,16020,2655,5129,4032
48753,22116,17708,2857,6072,4825
53662,23783,19846,3009,7024,5476
57850,26522,20692,3204,7432,6077
62356,28697,21937,3396,8326,6820
66883,30920,23112,3489,9362,7503
72374,33648,24753,3612,10361,8165
77364,36653,26029,3732,10950,9134
82449,39533,26676,3856,12384,10023
86910,42588,27386,3906,13030,10779
90148,43752,27795,3981,14620,11591
93364,45420,28192,4023,15729,12428
97419,48134,28403,4035,16847,13155
101327,50456,28540,4053,18278,13915
105146,52579,28741,4068,19758,14681
109270,55270,29010,3994,20996,15362
113061,58320,28949,3977,21815,15887
116024,60313,28976,3898,22837,16523
118459,61557,28718,3792,24392,17127
121753,63084,28485,3693,26491,17669
125347,64873,28399,3605,28470,18279
128728,66534,28242,3497,30455,18849
132803,68744,28144,3381,32534,19468
136464,71063,27847,3343,34211,19899
139051,72333,28023,3260,35435,20465
141421,73094,28011,3186,37130,21067
143510,74696,27643,3079,38092,21645
146771,76778,26893,2936,40164,22170
149689,78364,25786,2812,42727,22745
152698,80031,25007,2733,44927,23227
155312,80589,25033,2635,47055,23660
157114,80758,24906,2573,48877,24114
159309,81104,24134,2471,51600,24648
162242,81510,23805,2384,54543,25085
164424,81710,22871,2267,57576,25549
167025,82286,22068,2173,60498,25969
168967,82212,21533,2102,63120,26384
171031,82722,21372,2009,64928,26644
172437,83504,20353,1956,66624,26977
174146,83619,19723,1863,68941,27359
175909,83652,19210,1795,71252,27682
177496,81708,18149,1694,75945,27967
179192,81796,17569,1578,78249,28236
180618,81808,17357,1539,79914,28710
181833,81436,17242,1501,81654,28884
182859,81678,16823,1479,82879,29079
183698,80770,16270,1427,85231,29315
184773,74426,15769,1333,93245,29684
185900,73139,15174,1311,96276,29958
186984,72157,14636,1168,99023,30201
187873,69974,13834,1034,103031,30395
188510,68679,13618,1027,105186,30560
189075,67950,13539,999,106587,30739
190305,67449,12865,952,109039,30911
190998,65392,12172,893,112541,31106
191728,64132,11453,855,115288,31368
192275,60470,10792,808,120205,31610
192997,59012,10400,775,122810,31763
193527,57278,10311,762,125176,31908
193879,55597,10207,749,127326,32007
194530,54422,9991,716,129401,32169
195034,52452,9624,676,132282,32330
195520,51051,9269,640,134560,32486
196042,49770,8957,595,136720,32616
196592,48485,8695,572,138840,32735
197073,47428,8613,553,140479,32785
197281,46574,8185,541,141981,32877
197600,44504,7917,521,144658,32955
198067,42732,7729,505,147101,33072
198590,40118,7379,489,150604,33142
199019,38606,7094,475,152844,33229
199324,36561,6680,450,155633,33340
199604,35275,6387,435,157507,33415
199722,34844,6099,424,158355,33475
199985,33569,5916,408,160092,33530
200235,33202,5742,353,160938,33601
200324,32588,5503,338,161895,33689
200757,31359,5301,316,163781,33774
200955,30582,5002,293,165078,33846
201099,30111,4864,287,165837,33899
201314,29718,4729,283,166584,33964
201518,28028,4581,263,168646,34043
201649,27141,4320,249,169939,34114
201975,26270,4131,236,171338,34167
202082,24877,3893,227,173085,34223
202350,23518,3747,220,174865,34301
202644,22471,3594,209,176370,34345
202919,22213,3489,207,177010,34371
203095,21091,3301,177,178526,34405
203380,20649,3113,163,179455,34448
203645,20066,2867,168,180544,34514
203450,18750,2632,161,181907,34561
203665,18586,2474,152,182453,34610
203865,18510,2314,148,182893,34634
204063,18472,2038,127,183426,34657
204158,17605,1853,115,184585,34675
204766,16938,1610,107,186111,34644
205028,16685,1515,103,186725,34678
205253,16177,1356,105,187615,34708
205420,15479,1260,97,188584,34716
205572,15423,1160,98,188891,34738
205692,15280,1120,96,189196,34744
205811,14380,1090,93,190248,34767
205972,14143,1025,87,190717,34788
206143,14015,963,82,191083,34818
206351,13849,956,79,191467,34833
206565,13610,940,71,191944,34854
206750,13623,945,74,192108,34861
206950,13691,946,72,192241,34869
207057,13232,940,70,192815,34899
207235,12625,899,71,193640,34914
207437,12519,871,69,193978,34926
207701,12519,844,65,194273,34938
207882,12410,826,67,194579,34945
208107,12335,776,68,194928,34954
208263,12324,768,65,195106,34967
208360,12082,777,60,195441,34984
208509,11639,797,57,196016,34997
208719,11670,750,53,196246,35017
208939,11635,771,50,196483,35028
209174,11561,757,50,196806,35042
209389,11648,743,49,196949,35045
209566,11612,745,47,197162,35058
209679,11467,732,49,197431,35073
209950,11550,724,48,197628,35082
210246,11642,713,49,197842,35092
210493,11542,713,46,198192,35097
210762,11670,731,41,198320,35102
211011,11786,735,44,198446,35107
211174,11796,740,45,198593,35112
211365,11820,749,40,198756,35123
211647,11847,731,38,199031,35129
212026,11435,748,47,199796,35132
212396,11665,716,41,199974,35141
212686,11709,705,43,200229,35146
212916,11706,708,42,200460,35154
213063,11699,734,41,200589,35166
213248,11680,761,41,200766,35171
213622,11841,764,41,200976,35181
214017,11890,762,42,201323,35187
214566,12103,779,42,201642,35190
214900,12139,771,43,201947,35203
215361,12455,763,45,202098,35205
215616,12543,779,46,202248,35209
216022,12711,801,49,202461,35215
216488,12959,779,53,202697,35225
217004,13240,786,55,202923,35231
217575,13422,771,56,203326,35234
218046,13587,764,55,203640,35392
218519,13890,787,56,203786,35396
218835,13999,810,58,203968,35400
219231,14188,843,58,204142,35405
219866,14428,866,66,204506,35412
220700,15063,883,68,204686,35418
221638,15690,919,69,204960,35427
222706,16515,924,64,205203,35430
223908,17398,971,69,205470,35437
224857,18085,1045,65,205662,35441
225729,18590,1058,66,206015,35445
227082,19629,1055,69,206329,35458
228486,20734,1131,67,206554,35463
229937,21783,1178,74,206902,35472
231380,22909,1168,79,207224,35473
232741,23868,1251,86,207536,35477
233731,24696,1288,94,207653,35483
234698,25267,1380,107,207944,35491
236018,26271,1437,109,208201,35497
237405,27290,1505,120,208490,35507
239126,28371,1607,121,209027,35518
240804,29453,1620,121,209610,35534
242093,30262,1683,133,210015,35541
243231,31132,1719,142,210238,35553
244590,31886,1760,143,210801,35563
246006,32806,1778,150,211272,35577
247593,33708,1836,164,211885,35587
249199,34743,1849,175,212432,35597
250694,35370,1951,182,213191,35603
252143,36280,2042,187,213634,35610
253137,36868,2122,197,213950,35624
254357,37289,2222,201,214645,35633
255797,38040,2285,207,215265,35645
257367,38853,2348,212,215954,35658
259264,39862,2387,208,216807,35668
260877,40566,2380,215,217716,35692
262449,41511,2365,222,218351,35707
263782,42372,2475,232,218703,35724
265159,42646,2604,239,219670,35738
266779,43212,2658,244,220665,35758
268542,43803,2731,246,221762,35781
270434,44737,2737,244,222716,35801
272286,45600,2746,247,223693,35818
274035,46518,2846,254,224417,35835
275513,47082,2977,264,225190,35851
277136,47311,3048,271,226506,35875
278967,47936,3047,280,227704,35894
281491,49259,3097,291,228844,35918
283967,50561,3142,294,229970,35941
286783,52064,3205,297,231217,35968
289343,53839,3287,303,231914,35986
291584,55093,3487,323,232681,36002
294233,56190,3625,319,234099,36030
297879,58457,3782,337,235303,36061
302315,61669,3925,358,236363,36083
307659,65637,4086,387,237549,36111
313354,70103,4336,390,238525,36140
318784,74136,4519,420,239709,36166
323364,77491,4821,452,240600,36205
329221,81603,5076,514,242028,36246
336510,86436,5470,539,244065,36289
345230,92884,5796,586,245964,36372
355184,100496,6178,638,247872,36427
366062,109613,6617,705,249127,36474
377698,118356,7131,750,251461,36543
386962,125530,7676,797,252959,36616
397744,133415,8454,870,255005,36705
412816,145459,9057,926,257374,36832
428758,158616,9694,992,259456,36968
447810,174404,10549,1049,261808,37059
467299,190767,11287,1128,264117,37210
488444,209027,12006,1208,266203,37338
505310,222403,12997,1284,268626,37479
527078,239724,13955,1411,271988,37700
551861,259940,14981,1536,275404,37905
578473,281576,15964,1651,279282,38122
609353,307046,16994,1746,283567,38321
640812,331577,17966,1843,289426,38618
670509,357288,18902,1939,292380,38826
692529,374650,19840,2022,296017,39059
720417,394803,21114,2225,302275,39412
750613,418827,22116,2292,307378,39764
784687,446701,23256,2391,312339,40192
822043,472598,24005,2515,322925,40638
861427,504793,25109,2634,328891,41063
893710,529447,26440,2749,335074,41394
918623,542849,27636,2849,345289,41750
953133,558506,28633,2971,363023,42330
985471,580833,29444,3081,372113,42953
1022812,602011,29873,3170,387758,43589
1063164,629782,30914,3230,399238,44139
1099869,653731,31398,3306,411434,44683
1133300,677021,32047,3422,420810,45229
1160148,681756,32536,3492,442364,45733
1191608,697124,33074,3612,457798,46464
1225135,705994,33504,3670,481967,47217
1260658,724349,33610,3712,498987,47870
1297198,739471,33957,3748,520022,48569
1331270,753925,34063,3758,539524,49261
1359045,767867,34279,3801,553098,49823
1381342,758342,34697,3810,584493,50453
1403716,759993,34577,3816,605330,51306
1428846,753536,34313,3848,637149,52028
1457025,757961,34038,3846,661180,52850
1484540,750427,33684,3782,696647,53677
1510169,752247,33299,3762,720861,54363
1530274,759139,32879,3753,734503,54904
1545978,751540,33187,3744,757507,55576
1564540,743471,32811,3663,784595,56361
1584565,725160,32454,3616,823335,57045
1606791,724613,31772,3814,846809,58038
1630087,722935,31200,3768,872385,58852
1650477,720494,30158,3709,896308,59514
1668800,721461,30391,3604,913494,60078
1681951,714913,30524,3526,933132,60606
1696154,704099,30081,3537,958629,61240
1708410,677542,29653,3472,997895,61739
1724521,664148,29088,3542,1027994,62626
1742486,658496,28562,3473,1052163,63387
1761739,653583,28066,3394,1076891,64036
1779192,655138,27735,3310,1093161,64520
1790726,644249,27765,3233,1115617,65011
1804719,632968,27342,3202,1141406,65857
1821607,615883,26897,3117,1175901,66537
1839157,606061,26427,3038,1203814,67220
1853884,599210,25769,3008,1226086,67894
1869636,592018,25364,2944,1249470,68447
1884386,594859,25158,2864,1261626,68799
1894840,585706,25145,2892,1281258,69214
1907528,578320,24948,2888,1301573,69842
1920883,571646,24546,2840,1322067,70395
1938417,566973,24070,2738,1344785,70900
1956995,553900,23402,2749,1377109,71359
1967156,555051,23312,2713,1386213,71627
1975771,555609,23571,2728,1394011,71925
1983907,548724,23932,2732,1408686,72370
1994458,542517,23662,2805,1425730,73029
2010085,538301,23566,2703,1445690,73604
2033007,544190,23151,2757,1463111,74159
2054755,549392,22822,2698,1479988,74621
2066216,551545,22948,2703,1489154,74985
2080114,550556,23075,2737,1503900,75332
2090564,544562,23317,2715,1520106,75680
2105290,543197,23395,2771,1536129,76329
2125068,542967,23174,2754,1556356,76877
2143070,545177,23291,2743,1572015,77291
2159979,544489,23313,2774,1589590,77911
2179472,546989,23260,2776,1606630,78394
2197736,553890,23427,2796,1617804,78755
2209818,549734,23603,2810,1633839,79203
2223444,543692,23712,2832,1653404,79819
2238710,538670,23525,2744,1673936,80326
2255431,535713,23110,2721,1694051,80848
2271098,532705,22841,2678,1713030,81325
2286933,532413,22784,2690,1729216,81800
2299100,528114,22757,2627,1745726,82177
2307548,521631,22884,2686,1760489,82554
2317441,510338,22699,2663,1781917,83157
2330485,498623,22469,2613,1806932,83681
2344019,492105,22045,2573,1827451,84202
2357180,477972,21691,2534,1855127,84674
2370023,475045,21403,2560,1871189,85162
2381352,475569,21309,2520,1882074,85461
2389491,467785,21424,2571,1897861,85881
2399534,458690,21355,2534,1917117,86422
2414258,454456,21161,2467,1936289,86889
2428126,451551,20778,2390,1953509,87381
2441212,445157,20397,2418,1973388,87858
2453504,441036,20098,2350,1990152,88279
2464516,431657,20096,2312,2010548,88516
2472112,425077,20260,2397,2024523,88845
2481265,415234,20317,2372,2043500,89343
2493970,412506,20071,2278,2059248,89819
2507205,408383,19743,2298,2076928,90241
2521041,407401,19575,2274,2091923,90618
2534095,405516,19408,2254,2107061,91003
2545465,405651,19266,2212,2118441,91273
2553127,397934,19527,2282,2133523,91580
2563317,392312,19512,2289,2149350,92002
2575928,388703,19280,2283,2165817,92338
2590674,383951,18942,2277,2185655,92729
2604251,381343,18736,2248,2202077,93045
2617463,380851,18500,2180,2216050,93356
2628302,382249,18449,2211,2225519,93577
2635388,377494,18515,2211,2237290,93835
2645420,373149,18463,2228,2251734,94171
2657117,368547,18274,2156,2268253,94540
2670530,364493,17963,2222,2286029,94882
2685647,362558,17831,2210,2303199,95235
2700310,364835,17725,2200,2315687,95486
2713528,368997,17804,2219,2324633,95718
2722871,367630,18155,2280,2334968,95992
2735814,367507,18295,2343,2347866,96348
2751898,369059,18217,2335,2362465,96666
2771461,375718,18257,2346,2375318,96974
2791696,384178,18292,2382,2387032,97227
2810318,391378,18372,2379,2398352,97507
2827566,401498,18638,2362,2405199,97699
2840426,402932,19112,2460,2416093,97945
2857146,409099,19570,2549,2426150,98288
2877639,415247,19763,2633,2440218,98635
2900145,423807,20157,2707,2453706,98974
2923858,433571,20374,2747,2467388,99271
2947184,442540,20701,2785,2481372,99578
2967701,449113,21144,2766,2494839,99785
2981265,448002,21831,2931,2508732,100103
3000614,453734,22393,3034,2521731,100479
3022557,461365,22882,3080,2535483,100811
3047833,471244,23247,3125,2550483,101184
3074243,482747,23656,3140,2564926,101564
3099957,492926,24153,3252,2579896,101881
3120997,503666,24518,3325,2589731,102145
3135895,501862,25338,3400,2605538,102499
3155769,506761,26098,3575,2619654,103001
3178378,509174,26517,3641,2639370,103432
3202856,517483,26694,3582,2655346,103855
3228177,526317,26858,3608,2671638,104241
3251689,535005,27061,3630,2686236,104642
3271434,540740,27484,3680,2699762,104942
3295549,531508,28049,3737,2732482,105328
3313737,528680,28428,3863,2753083,105879
3334523,529282,28438,3888,2773215,106339
3357846,530914,28424,3880,2794888,106799
3381363,534611,28472,3916,2814652,107256
3404754,539559,28621,3899,2832939,107636
3424061,540792,28701,3896,2850889,107933
3436544,533046,29163,3913,2870614,108350
3452066,529818,29231,3985,2889301,108879
3474098,528163,29180,3993,2913045,109346
3497236,530849,28949,3925,2933757,109847
3518672,532887,28704,3936,2953377,110328
3539543,532652,28489,3948,2974688,110704
3557234,536900,28432,3898,2988199,111030
3567618,537574,28785,3929,2997522,111326
3574960,522625,29337,3964,3019255,111747
3588019,514838,29316,3959,3040182,112374
3604741,511816,28851,3922,3060411,112861
3622947,504612,28146,3795,3086586,113579
3640154,501843,27654,3774,3107069,113923
3655560,502169,27251,3760,3122555,114254
3664982,493495,27329,3760,3140565,114612
3677945,488742,26952,3768,3158725,115088
3693636,484801,26369,3706,3178976,115557
3710219,481019,25587,3628,3200196,115937
3725713,478629,24743,3565,3218975,116366
3740767,477868,24100,3503,3235459,116676
3753204,477652,23648,3474,3248593,116927
3761751,466503,23742,3385,3268262,117243
3773430,456309,23255,3333,3290715,117633
3786902,449775,22784,3231,3311267,117997
3802588,447081,22094,3195,3330392,118357
3817004,441124,21440,3132,3351461,118699
3830496,437583,20971,3037,3369048,119021
3843436,437688,20662,2976,3382224,119238
3851575,429328,20635,2981,3398763,119539
3861600,425089,20312,2925,3413451,119912
3874638,420200,19860,2879,3431867,120256
3888664,416718,19351,2769,3449955,120544
3901846,414747,18940,2720,3465576,120807
3914584,409639,18381,2665,3484042,121033
3923585,410037,18345,2633,3492679,121177
3929275,402673,18395,2611,3505717,121433
3938083,393290,18176,2559,3524194,121738
3948395,387241,17520,2510,3541266,122005
3959935,383627,16867,2435,3557133,122263
3970277,378980,16331,2362,3572713,122470
3980227,372110,15799,2321,3590107,122694
3988377,366242,15420,2295,3604523,122833
3993256,356085,15427,2238,3619586,123031
3999948,346866,14937,2156,3636089,123282
4007534,336150,14280,2083,3655112,123544
4015415,330507,13608,1974,3669407,123745
4022795,324696,13050,1959,3683189,123927
4029311,318532,12493,1868,3696481,124063
4034966,314969,12134,1839,3706084,124156
4038280,309113,12024,1823,3715389,124296
4042528,302080,11539,1775,3727220,124497
4047879,294069,11018,1713,3741149,124646
4053451,287559,10383,1613,3753965,124810
4058448,280394,9925,1520,3766660,125028
4063037,272826,9488,1494,3779293,125153
4066958,270521,9161,1458,3785866,125225
4069337,266107,8950,1430,3792898,125335
4072391,258265,8557,1369,3804246,125501
4076205,250633,8118,1317,3816176,125622
4080177,244280,7707,1244,3826984,125793
4083788,237936,7192,1183,3837518,125919
4087053,234071,6800,1124,3845087,126002
